credit_code,enterprise_name,outlet_code,outlet_name,outlet_type,discharge_to,target_water,major_pollutants,remark
91330521569388863L,英格瓷(浙江)锆业有限公司,DW001,废水总排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91330521569388863L,英格瓷(浙江)锆业有限公司,DW003,车间或生产设施排放口,,,,NH3N/COD,
91330521MA29J05A6N,浙江拜克生物科技有限公司,DW001,污水总排口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91330521MA29J05A6N,浙江拜克生物科技有限公司,DW010,脱硫废水排放口,,,,COD/NH3N,
91330500704459653Q,浙江拓普药业股份有限公司,DW001,综合排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305007195378967,浙江浙北药业有限公司,DW002,废水总排放口,,,,COD/NH3N/COD/NH3N,
91330521732436475P,德清县上峰纸业有限公司,DW001,废水总排口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305211471190143,湖州市韶春纸业有限公司,DW001,韶春纸业废水排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305211470844729,湖州新天纸业有限公司,DW001,综合废水排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305001470538522,湖州市水务集团有限公司(市北污水处理厂),DW001,废水标准排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
